ts_utc	name	repo_id	revision	role	scope	vocab_size	tokenizer_len	hidden_size	n_layers	n_heads	n_kv_heads	head_dim	embedding_params	total_params	embedding_share	tie_word_embeddings	kv_bytes_per_token	files_mb	note
2026-08-29T12:17:31Z	Qwen2.5-0.5B	Qwen/Qwen2.5-0.5B	060db6499f32faf8b98477b0a26969ef7d8b9987	main experimental backbone (full CPT)	full	151936	151665	896	24	14	2	64	136134656	493961216	0.2756	1	12288	953.3	NA
2026-08-29T12:17:31Z	Qwen2.5-1.5B	Qwen/Qwen2.5-1.5B	8faed761d45a263340a0528343f099c05c9a4323	scale validation (alignment + LoRA/QLoRA)	full	151936	151665	1536	28	12	2	128	233373696	1543569408	0.1512	1	28672	2955.4	NA
2026-08-29T12:17:32Z	HyperCLOVAX-SEED-Text-Instruct-0.5B	naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-0.5B	3da5046fb0195d14f2497de198136987d35fd644	external baseline: Korean-specialized small LLM	full	110592	110524	1024	24	16	8	128	113246208	515899392	0.2195	1	98304	1087.8	NA
2026-08-29T12:17:32Z	A.X-4.0-Light	skt/A.X-4.0-Light	ba21c20ea1b31ded1ec3e2fb432335077dc4be98	external reference: Qwen-based Korean adaptation (7B)	tokenizer_only	102400	102400	3584	28	28	4	128	367001600	7259291648	0.0506	0	57344	12.1	NA
2026-08-29T12:17:33Z	A.X-4.0	skt/A.X-4.0	a3393fd67bf09a34a85e66dfd2c2da61c4497b67	external reference: Korean adaptation (72B, tokenizer only)	tokenizer_only	102400	102402	8192	80	64	8	128	838860800	71890370560	0.0117	0	327680	12.1	NA
